ControlSection,ControlSectionSeq,BeginLogMile,EndLogMile,SegmentLength,AADT,aadt_class,HighwayClassDescription,HighwayClassCode,HwyClassGroups,RouteNames,Cities,Parishes,DOTDDistricts,MapYear,TotalCrashes
001-06,001-06_010,13.973,15.817,1.844,2378,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Bienville""]","[""BIENVILLE""]","[""04""]",2022,8
001-06,001-06_010,15.817,17.228,1.41,2378,low,RURAL 4-LANE,21,"21,32,34","[""US 80""]","[""Arcadia"",""Rural Bienville""]","[""BIENVILLE""]","[""04""]",2022,9
001-06,001-06_010,17.228,17.546,0.319,2378,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Arcadia""]","[""BIENVILLE""]","[""04""]",2022,0
001-06,001-06_010,17.555,17.568,0.013,2378,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Arcadia""]","[""BIENVILLE""]","[""04""]",2022,0
001-06,001-06_010,17.568,17.82,0.252,2378,low,RURAL 4-LANE,21,"21,32,34","[""US 80""]","[""Arcadia""]","[""BIENVILLE""]","[""04""]",2022,0
001-06,001-06_010,17.82,19.994,2.174,2378,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Bienville"",""Arcadia""]","[""BIENVILLE""]","[""04""]",2022,7
001-07,001-07_010,0,8.672,8.67,2471,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Simsboro"",""Rural Lincoln""]","[""LINCOLN""]","[""05""]",2022,41
001-07,001-07_010,8.672,13.72,5.047,2348,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Lincoln"",""Ruston"",""Grambling""]","[""LINCOLN""]","[""05""]",2022,123
001-07,001-07_010,13.72,14.8,1.08,2332,low,URBAN 4-LANE,22,22,"[""US 80""]","[""Ruston""]","[""LINCOLN""]","[""05""]",2022,78
001-07,001-07_010,14.8,15.24,0.44,2332,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Ruston""]","[""LINCOLN""]","[""05""]",2022,69
001-08,001-08_010,0,0.534,0.534,5122,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Ruston""]","[""LINCOLN""]","[""05""]",2022,132
001-08,001-08_010,0.534,0.555,0.021,3505,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Ruston""]","[""LINCOLN""]","[""05""]",2022,4
001-08,001-08_010,0.555,1.419,0.865,3505,low,URBAN 4-LANE,22,22,"[""US 80""]","[""Ruston""]","[""LINCOLN""]","[""05""]",2022,90
001-08,001-08_010,1.419,4.495,3.075,3496,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Ruston"",""Rural Lincoln""]","[""LINCOLN""]","[""05""]",2022,39
001-08,001-08_010,4.495,13.845,9.35,3304,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Choudrant"",""Rural Lincoln""]","[""LINCOLN""]","[""05""]",2022,38
001-09,001-09_010,0,10.325,10.325,3275,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,95
001-09,001-09_010,10.325,10.338,0.013,8118,med,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,3
001-09,001-09_010,10.338,11.388,1.05,8616,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,28
001-09,001-09_010,11.388,11.53,0.142,9175,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,2
001-09,001-09_010,11.53,11.724,0.194,9765,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,1
001-09,001-09_010,11.724,11.982,0.258,10558,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,5
001-09,001-09_010,11.982,12.487,0.505,11837,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,31
001-09,001-09_010,12.487,12.885,0.398,13520,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,20
001-09,001-09_010,12.885,13.428,0.543,15139,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,34
001-09,001-09_010,13.428,13.59,0.162,16378,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,26
001-09,001-09_010,13.59,13.696,0.106,16615,med,URBAN 4-LANE,22,22,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,96
001-09,001-09_010,13.696,15.271,1.575,17683,med,URBAN 4-LANE,22,22,"[""US 80""]","[""Rural Ouachita"",""West Monroe""]","[""OUACHITA""]","[""05""]",2022,194
001-09,001-09_010,15.271,15.862,0.591,17683,med,URBAN 4-LANE CONT TURN,39,39,"[""US 80""]","[""West Monroe""]","[""OUACHITA""]","[""05""]",2022,116
001-09,001-09_010,15.862,16.118,0.256,17683,med,URBAN 4-LANE,22,22,"[""US 80""]","[""West Monroe""]","[""OUACHITA""]","[""05""]",2022,44
001-09,001-09_010,16.118,16.352,0.234,17683,low,URBAN 4-LANE DIVIDED,24,24,"[""US 80""]","[""West Monroe""]","[""OUACHITA""]","[""05""]",2022,40
001-09,001-09_010,16.352,18.942,2.59,17683,med,URBAN 4-LANE,22,22,"[""US 80""]","[""Monroe"",""West Monroe""]","[""OUACHITA""]","[""05""]",2022,366
001-09,001-09_010,18.942,21.074,2.132,17683,med,URBAN 4-LANE CONT TURN,39,39,"[""US 80""]","[""Monroe""]","[""OUACHITA""]","[""05""]",2022,431
002-01,002-01_010,0,0.293,0.293,17683,low,URBAN 4-LANE DIVIDED,24,24,"[""US 80""]","[""Monroe""]","[""OUACHITA""]","[""05""]",2022,105
002-01,002-01_010,0.293,1.003,0.71,17683,med,URBAN 4-LANE CONT TURN,39,39,"[""US 80""]","[""Monroe""]","[""OUACHITA""]","[""05""]",2022,136
002-01,002-01_010,1.003,2.99,1.987,17683,med,URBAN 4-LANE,22,22,"[""US 80""]","[""Rural Ouachita"",""Monroe""]","[""OUACHITA""]","[""05""]",2022,468
002-01,002-01_010,2.99,3.374,0.384,17683,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Monroe"",""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,12
002-01,002-01_010,3.374,4.86,1.485,15083,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita"",""Monroe""]","[""OUACHITA""]","[""05""]",2022,16
002-01,002-01_010,4.86,5.037,0.177,12772,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,3
002-01,002-01_010,5.037,5.673,0.636,11642,med,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,5
002-01,002-01_010,5.673,6.762,1.089,9244,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,23
002-01,002-01_010,6.762,10.346,3.584,2747,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Ouachita""]","[""OUACHITA""]","[""05""]",2022,21
002-02,002-02_010,0,7.307,7.306,2747,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Ouachita"",""Rural Richland""]","[""RICHLAND"",""OUACHITA""]","[""05""]",2022,30
002-03,002-03_010,0,3.749,3.748,2747,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Richland"",""Rayville""]","[""RICHLAND""]","[""05""]",2022,13
002-03,002-03_010,3.749,4.616,0.867,2440,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Richland""]","[""RICHLAND""]","[""05""]",2022,5
002-03,002-03_010,4.616,18.888,14.273,1451,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Richland"",""Delhi""]","[""RICHLAND""]","[""05""]",2022,50
002-04,002-04_010,0,0.812,0.812,1451,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Delhi"",""Rural Madison""]","[""RICHLAND"",""MADISON""]","[""05""]",2022,4
002-04,002-04_010,0.812,1.189,0.377,1358,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,0
002-04,002-04_010,1.189,3.03,1.841,1180,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,5
002-04,002-04_010,3.03,4.749,1.719,894,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,2
002-04,002-04_010,4.749,5.821,1.072,975,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,2
002-04,002-04_010,5.821,11.88,6.059,1181,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,13
002-04,002-04_010,11.88,13.636,1.756,1422,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,1
002-04,002-04_010,13.636,17.099,3.463,1558,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,10
002-04,002-04_010,17.099,18.44,1.341,1303,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Tallulah"",""Rural Madison""]","[""MADISON""]","[""05""]",2022,8
002-05,002-05_010,0,1.092,1.092,1320,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Tallulah"",""Rural Madison""]","[""MADISON""]","[""05""]",2022,9
002-05,002-05_010,1.092,14.472,13.38,2021,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison"",""Mound""]","[""MADISON""]","[""05""]",2022,18
002-05,002-05_010,14.472,16.771,2.299,690,low,RURAL 2-LANE,19,19,"[""STATE RTE 3218""]","[""Delta"",""Rural Madison""]","[""MADISON""]","[""05""]",2022,5
002-07,002-07_010,0,0.06,0.06,2021,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,0
002-07,002-07_010,0.06,0.26,0.2,2021,low,RURAL 2-LANE DIVIDED,26,26,"[""US 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,0
002-07,002-07_010,0.26,0.431,0.171,2021,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Madison"",""Delta""]","[""MADISON""]","[""05""]",2022,0
002-07,002-07_010,0.431,0.627,0.195,2021,low,RURAL 2-LANE DIVIDED,26,26,"[""US 80"",""US HWY 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,1
002-07,002-07_010,0.627,0.635,0.008,2021,low,RURAL 2-LANE,19,19,"[""US HWY 80""]","[""Rural Madison""]","[""MADISON""]","[""05""]",2022,0
003-02,003-02_010,0,0.112,0.112,752,low,RURAL 2-LANE,19,19,"[""HWY 109 S ""]","[""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,2
003-02,003-02_010,0.112,0.655,0.543,4815,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,15
003-02,003-02_010,0.655,4.255,3.599,3645,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Vinton"",""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,22
003-02,003-02_010,4.255,4.677,0.422,2509,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Vinton""]","[""CALCASIEU""]","[""07""]",2022,7
003-03,003-03_010,0,8.929,8.929,2509,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Vinton"",""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,54
003-03,003-03_010,8.929,9.933,1.004,2509,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,10
003-03,003-03_010,9.933,10.454,0.521,7255,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,5
003-03,003-03_010,10.454,12.597,2.143,13695,med,URBAN 2-LANE,20,20,"[""US 90""]","[""Sulphur"",""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,43
003-03,003-03_010,12.597,12.994,0.397,13695,high,URBAN 2-LANE CONT TURN,37,37,"[""US 90""]","[""Sulphur""]","[""CALCASIEU""]","[""07""]",2022,24
003-04,003-04_010,0,0.59,0.59,13695,high,URBAN 2-LANE CONT TURN,37,37,"[""US 90""]","[""Sulphur""]","[""CALCASIEU""]","[""07""]",2022,53
003-04,003-04_010,0.59,1.586,0.996,13695,low,URBAN 4-LANE CONT TURN,39,39,"[""US 90""]","[""Sulphur""]","[""CALCASIEU""]","[""07""]",2022,102
003-04,003-04_010,1.586,1.589,0.003,13695,high,URBAN 2-LANE CONT TURN,37,37,"[""US 90""]","[""Sulphur""]","[""CALCASIEU""]","[""07""]",2022,0
003-04,003-04_010,1.589,5.386,3.797,13695,med,URBAN 2-LANE,20,20,"[""US 90""]","[""Sulphur"",""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,241
003-04,003-04_010,5.386,5.432,0.046,13695,med,URBAN 2-LANE DIVIDED,27,27,"[""US 90""]","[""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,1
003-04,003-04_010,5.432,6.21,0.778,13695,low,URBAN 4-LANE DIVIDED,24,24,"[""US 90""]","[""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,19
003-05,003-05_010,0,0.591,0.591,6080,low,URBAN 4-LANE DIVIDED,24,24,"[""US 90""]","[""Lake Charles""]","[""CALCASIEU""]","[""07""]",2022,14
003-05,003-05_010,0.591,1.161,0.571,6080,low,URBAN 2-LANE DIVIDED,27,27,"[""US 90""]","[""Lake Charles""]","[""CALCASIEU""]","[""07""]",2022,14
003-05,003-05_010,1.161,1.762,0.601,6080,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Lake Charles""]","[""CALCASIEU""]","[""07""]",2022,3
003-05,003-05_010,1.762,2.008,0.245,6080,low,URBAN 2-LANE DIVIDED,27,27,"[""US 90""]","[""Lake Charles""]","[""CALCASIEU""]","[""07""]",2022,3
003-05,003-05_010,2.008,6.989,4.98,6080,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Lake Charles"",""Rural Calcasieu""]","[""CALCASIEU""]","[""07""]",2022,87
003-05,003-05_010,6.989,12.006,5.017,6080,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Calcasieu"",""Iowa""]","[""CALCASIEU""]","[""07""]",2022,36
003-06,003-06_010,0,1.028,1.028,6080,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,3
003-06,003-06_010,1.028,4.058,3.03,5621,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,13
003-06,003-06_010,4.058,6.346,2.288,5020,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,10
003-06,003-06_010,6.346,7.098,0.752,4676,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,3
003-06,003-06_010,7.098,10.481,3.384,4262,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis"",""Welsh""]","[""JEFFERSON DAVIS""]","[""07""]",2022,15
003-07,003-07_010,0,8.183,8.183,4262,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis"",""Welsh""]","[""JEFFERSON DAVIS""]","[""07""]",2022,64
003-07,003-07_010,8.183,9.468,1.285,4262,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Jennings"",""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,18
003-08,003-08_010,0,0.002,0.002,14902,low,URBAN 4-LANE,22,22,"[""US 90""]","[""Jennings""]","[""JEFFERSON DAVIS""]","[""07""]",2022,2
003-08,003-08_010,0.002,0.069,0.067,14902,med,URBAN 2-LANE,20,20,"[""US 90""]","[""Jennings""]","[""JEFFERSON DAVIS""]","[""07""]",2022,5
003-08,003-08_010,0.069,0.32,0.251,14902,low,URBAN 4-LANE,22,22,"[""US 90""]","[""Jennings""]","[""JEFFERSON DAVIS""]","[""07""]",2022,12
003-08,003-08_010,0.32,2.373,2.054,14902,med,URBAN 2-LANE,20,20,"[""US 90""]","[""Jennings""]","[""JEFFERSON DAVIS""]","[""07""]",2022,29
003-08,003-08_010,2.373,3.295,0.922,3789,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Jennings"",""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,5
003-08,003-08_010,3.295,4.151,0.856,3411,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,9
003-08,003-08_010,4.151,5.702,1.551,2899,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Jefferson Davis""]","[""JEFFERSON DAVIS""]","[""07""]",2022,9
003-09,003-09_010,0,8.375,8.375,2899,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Acadia"",""Estherwood"",""Rural Jefferson Davis"",""Mermentau""]","[""JEFFERSON DAVIS"",""ACADIA""]","[""03"",""07""]",2022,33
003-09,003-09_010,8.375,8.926,0.55,3301,low,RURAL 2-LANE,19,19,"[""US 90""]","[""Estherwood"",""Rural Acadia""]","[""ACADIA""]","[""03""]",2022,0
003-09,003-09_010,8.926,12.38,3.455,6598,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Acadia""]","[""ACADIA""]","[""03""]",2022,18
003-09,003-09_010,12.38,13.952,1.571,10737,med,URBAN 2-LANE,20,20,"[""US 90""]","[""Crowley"",""Rural Acadia""]","[""ACADIA""]","[""03""]",2022,46
003-09,003-09_020,0,0.025,0.025,123,low,RURAL 2-LANE,19,19,"[""MERMENTAU RIVER BOAT RAMP""]","[""Mermentau""]","[""ACADIA""]","[""03""]",2022,0
003-10,003-10_010,0,0.508,0.508,10737,med,URBAN 2-LANE,20,20,"[""US 90""]","[""Crowley""]","[""ACADIA""]","[""03""]",2022,20
003-10,003-10_010,0.508,0.785,0.277,10737,med,URBAN 2-LANE DIVIDED,27,27,"[""US 90""]","[""Crowley""]","[""ACADIA""]","[""03""]",2022,25
003-10,003-10_010,0.785,1.87,1.084,10737,med,URBAN 2-LANE,20,20,"[""US 90""]","[""Crowley"",""Rural Acadia""]","[""ACADIA""]","[""03""]",2022,29
003-10,003-10_010,1.87,2.705,0.836,7679,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Acadia""]","[""ACADIA""]","[""03""]",2022,8
003-10,003-10_010,2.705,5.109,2.404,7162,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Acadia""]","[""ACADIA""]","[""03""]",2022,33
003-10,003-10_010,5.109,6.27,1.161,6580,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rural Acadia""]","[""ACADIA""]","[""03""]",2022,7
003-10,003-10_010,6.27,6.279,0.009,6488,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Acadia""]","[""ACADIA""]","[""03""]",2023,0
003-10,003-10_010,6.279,9.078,2.8,5359,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Acadia"",""Rayne""]","[""ACADIA""]","[""03""]",2022,66
003-10,003-10_010,9.078,9.079,0.001,5359,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rayne""]","[""ACADIA""]","[""03""]",2023,0
003-10,003-10_010,9.079,11.367,2.288,5359,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Rayne"",""Duson"",""Rural Acadia""]","[""LAFAYETTE"",""ACADIA""]","[""03""]",2022,15
003-11,003-11_010,0,1.002,1.002,9189,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Duson""]","[""LAFAYETTE""]","[""03""]",2022,9
003-11,003-11_010,1.002,1.02,0.019,9189,med,RURAL 2-LANE,19,19,"[""US 90""]","[""Duson""]","[""LAFAYETTE""]","[""03""]",2023,0
003-11,003-11_010,1.02,3.05,2.03,9189,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Duson"",""Rural Lafayette""]","[""LAFAYETTE""]","[""03""]",2022,62
003-11,003-11_010,3.05,3.564,0.514,7902,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Lafayette""]","[""LAFAYETTE""]","[""03""]",2022,11
003-11,003-11_010,3.564,4.067,0.504,7042,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Lafayette""]","[""LAFAYETTE""]","[""03""]",2022,11
003-11,003-11_010,4.067,4.801,0.734,6644,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Lafayette""]","[""LAFAYETTE""]","[""03""]",2022,19
003-11,003-11_010,4.801,10.69,5.89,7540,low,URBAN 2-LANE,20,20,"[""US 90""]","[""Rural Lafayette"",""Lafayette"",""Scott""]","[""LAFAYETTE""]","[""03""]",2022,417
004-01,004-01_010,0,2.787,2.788,24061,med,URBAN 4-LANE,22,22,"[""LA 182"",""US 90 BUS""]","[""Lafayette""]","[""LAFAYETTE""]","[""03""]",2022,747
004-01,004-01_010,2.787,6.16,3.372,24061,med,URBAN 4-LANE CONT TURN,39,39,"[""LA 182""]","[""Rural Lafayette"",""Lafayette""]","[""LAFAYETTE""]","[""03""]",2022,1139
004-02,004-02_010,0,0.183,0.183,10900,med,URBAN 1-WAY 2-LANE,4,"3,4,5,6,7,8","[""LA 182""]","[""Broussard""]","[""LAFAYETTE""]","[""03""]",2022,5
004-02,004-02_010,0.183,0.716,0.533,14501,med,URBAN 2-LANE DIVIDED,27,27,"[""LA 182""]","[""Broussard""]","[""LAFAYETTE""]","[""03""]",2022,20
004-02,004-02_010,0.716,1.636,0.919,14501,med,URBAN 2-LANE,20,20,"[""LA 182""]","[""Broussard"",""Rural Lafayette""]","[""LAFAYETTE""]","[""03""]",2022,25
004-03,004-03_010,0,4.911,4.911,14501,med,URBAN 2-LANE,20,20,"[""LA 182""]","[""Rural St. Martin"",""Broussard""]","[""ST. MARTIN""]","[""03""]",2022,180
