HighwayClassDescription,HighwayClassCode,ControlSection,ControlSectionSeq,BeginLogMile,EndLogMile,SegmentLength,AADT,RouteNames,DOTDDistricts,Parishes,Fatal,Serious,Minor,Possible,PDO,TL_5y,FI_5y,FSM_5y,TLCpY,TLCpMpY,PredTL,PredTLpMpY,PSI_Limit_TL,Expected_TL,PSI_Limit_TL_Low,TLCr_Delta,TL_LOSS,TL_Rank,FICpY,FICpMpY,PredFI,PredFIpMpY,PSI_Limit_FI,Expected_FI,PSI_Limit_FI_Low,FICr_Delta,FI_LOSS,FI_Rank,HPSI_Rank
URBAN 4-LANE INTERSTATE,13,450-30,450-30_010,0,4.5,4.49999999,51794,"[""INTERSTATE 210 ""]","[""07""]","[""CALCASIEU""]",4,3,31,240,648,926,278,38,185.2,41.15555565,276.8002182,12.30223195,16.10293443,38.44151542,8.134387954,26.13928348,LOSS 4,3,55.6,12.35555558,82.87328449,3.683257097,4.776233206,9.97042292,2.489616162,6.287165824,LOSS 4,7,9
URBAN 4-LANE INTERSTATE,13,283-08,283-08_010,2.314,3.875,1.70080798,89949,"[""WESTBANK EXPWY""]","[""02""]","[""ORLEANS"",""JEFFERSON""]",1,0,36,309,833,1179,346,37,235.8,138.6399892,343.8654058,40.43553533,52.92785708,135.6327528,26.73647619,95.19721748,LOSS 4,1,69.2,40.68654476,79.05776769,9.296495386,12.05515358,36.58497797,6.28376042,27.28848258,LOSS 4,1,10
URBAN 4-LANE INTERSTATE,13,450-13,450-13_010,8.73,13.534,4.8043756,41078,"[""I-10""]","[""62""]","[""ST. JOHN THE BAPTIST""]",3,1,30,82,257,373,116,34,74.6,15.52751205,209.2287649,8.709925381,11.4008058,14.65556404,5.759110413,5.945638657,LOSS 4,18,23.2,4.82893136,66.99452782,2.788896348,3.616478295,4.14799318,1.885092797,1.359096832,LOSS 4,17,11
URBAN 4-LANE INTERSTATE,13,451-01,451-01_010,18.467,19.392,0.92472173,78341,"[""I-20""]","[""04""]","[""CADDO""]",1,3,26,122,291,443,152,30,88.6,95.81260732,133.7246179,28.92213161,37.85745473,92.98335649,19.12367122,64.06122488,LOSS 4,2,30.4,32.87475466,33.1122515,7.161560159,9.286693962,28.67687714,4.840698178,21.51531698,LOSS 4,2,12
URBAN 4-LANE INTERSTATE,13,451-02,451-02_010,1.302,2.162,0.85970285,78341,"[""I-20""]","[""04""]","[""BOSSIER""]",1,1,17,67,149,235,86,19,47,54.67005257,124.3221949,28.92213161,37.85745473,53.58099876,19.12367122,24.65886715,LOSS 4,4,17.2,20.00691285,30.7840684,7.161560159,9.286693962,17.90980985,4.840698178,10.74824969,LOSS 4,4,13
URBAN 4-LANE INTERSTATE,13,451-06,451-06_010,17.66,18.54,0.88000003,74800,"[""I-20""]","[""05""]","[""OUACHITA""]",0,5,12,58,148,223,75,17,44.6,50.68181645,114.2585405,25.96784922,33.9904641,49.52314809,17.17026315,23.55529887,LOSS 4,5,15,17.04545396,28.98364314,6.587191399,8.541886017,15.21523967,4.452466319,8.628048272,LOSS 4,6,14
URBAN 4-LANE INTERSTATE,13,451-30,451-30_010,5.818,8.262,2.4431984,37432,"[""I-220""]","[""04""]","[""CADDO""]",0,1,14,38,89,142,53,15,28.4,11.62410715,95.45813395,7.81419421,10.22834373,11.088823,5.166841881,3.27462879,LOSS 4,25,10.6,4.338575205,31.09941035,2.545794918,3.301238524,3.703274268,1.720773762,1.157479351,LOSS 4,20,15
URBAN 4-LANE INTERSTATE,13,455-01,455-01_010,0.53,1.8,1.26999995,18774,"[""I-49""]","[""03""]","[""LAFAYETTE""]",0,3,11,36,124,174,50,14,34.8,27.40157588,33.41815166,5.262701256,6.888581978,23.0776169,3.479763176,17.81491565,LOSS 4,8,10,7.874016058,11.06377504,1.742326847,2.259347942,5.145090058,1.177687292,3.402763211,LOSS 4,11,16
URBAN 4-LANE INTERSTATE,13,450-43,450-43_010,1,2.727,1.72728286,22962,"[""I-510""]","[""02""]","[""ORLEANS""]",3,1,5,18,29,56,27,9,11.2,6.484172488,48.24424273,5.586142704,7.311948766,6.317043144,3.693626662,0.73090044,LOSS 3,33,5.4,3.12629745,16.08740264,1.862740957,2.415493945,2.584719135,1.259078547,0.721978178,LOSS 4,24,17
URBAN 4-LANE INTERSTATE,13,451-30,451-30_010,0,0.275,0.27492268,37432,"[""I-220""]","[""04""]","[""CADDO""]",0,1,4,7,31,43,12,5,8.6,31.2815225,10.74149607,7.81419421,10.22834373,27.98441594,5.166841881,20.17022173,LOSS 4,7,2.4,8.729727209,3.499483807,2.545794918,3.301238524,6.538349935,1.720773762,3.992555018,LOSS 4,9,18
URBAN 4-LANE INTERSTATE,13,450-91,450-91_010,25.477,26.2,0.72257801,2385,"[""I-10""]","[""07""]","[""CALCASIEU""]",1,0,4,18,50,73,23,5,14.6,20.20543083,17.50015166,4.843809643,6.340276254,16.9998217,3.202786858,12.15601205,LOSS 4,10,4.6,6.366094645,5.575023367,1.543092452,2.000992387,4.074162165,1.04301921,2.531069713,LOSS 4,14,19
URBAN 6-LANE INTERSTATE,16,450-90,450-90_010,4.544,8.487,3.94321759,155335,"[""I-10""]","[""02""]","[""ORLEANS""]",8,27,158,447,841,1481,640,193,296.2,75.11632144,2488.192432,126.2011226,173.8967108,75.43977534,72.59843225,-50.76134724,LOSS 2,48,128,32.46080062,414.9995602,21.0487781,29.46112845,32.09175999,11.51578488,11.0429819,LOSS 4,11,1
URBAN 6-LANE INTERSTATE,16,450-15,450-15_010,1.057,4.441,3.3838825,122151,"[""I-10""]","[""02""]","[""JEFFERSON""]",1,8,80,466,1605,2160,555,89,432,127.6640072,1312.161441,77.55360541,106.8636841,127.1497407,44.61347136,49.59613525,LOSS 4,5,111,32.80255742,353.0011433,20.86367617,29.20204873,32.41316574,11.41451563,11.54948957,LOSS 4,9,2
URBAN 6-LANE INTERSTATE,16,450-10,450-10_010,1.349,3.686,2.33653096,166452,"[""I-10""]","[""61""]","[""EAST BATON ROUGE""]",1,12,61,364,1461,1899,438,74,379.8,162.54867,1694.552784,145.0486052,199.867282,162.4521833,83.44063129,17.40357812,LOSS 3,14,87.6,37.49147839,245.9922988,21.05619853,29.47151454,36.96017751,11.5198446,15.90397898,LOSS 4,3,3
URBAN 6-LANE INTERSTATE,16,450-90,450-90_010,8.487,9.47,0.98290492,152064,"[""I-10""]","[""02""]","[""ORLEANS""]",0,13,53,161,313,540,227,66,108,109.8783797,594.1473621,120.8962027,166.5868858,109.9511822,69.5467251,-10.94502048,LOSS 2,34,45.4,46.18961517,103.4265786,21.04508311,29.45595672,45.37635613,11.51376335,24.33127302,LOSS 4,1,4
URBAN 6-LANE INTERSTATE,16,450-92,450-92_010,3.028,7.915,4.8867897,63516,"[""INTERSTATE 110 HWY N""]","[""61""]","[""EAST BATON ROUGE""]",6,6,44,169,526,751,225,56,150.2,30.73592465,497.1975633,20.3486376,28.03906239,30.34103406,11.70575315,9.992396455,LOSS 4,19,45,9.208499396,124.938643,5.113321858,7.156911029,8.713268586,2.797497996,3.599946727,LOSS 4,25,5
URBAN 6-LANE INTERSTATE,16,450-11,450-11_010,0,4.295,4.29545151,51016,"[""I-10""]","[""61""]","[""ASCENSION""]",5,2,40,183,591,821,230,47,164.2,38.22648204,278.5585326,12.96993026,17.87169691,36.75195209,7.461079459,23.78202182,LOSS 4,10,46,10.70900228,91.96884899,4.282150492,5.993553884,9.802230205,2.342764205,5.520079713,LOSS 4,20,6
URBAN 6-LANE INTERSTATE,16,450-34,450-34_010,3.472,4.919,1.44725166,79885,"[""I-610""]","[""02""]","[""ORLEANS""]",4,8,30,78,194,314,120,42,62.8,43.39259144,235.7045233,32.57270726,44.88301324,43.13190436,18.73776899,10.5591971,LOSS 3,17,24,16.58315597,82.20834247,11.36061471,15.90099566,16.27864425,6.215391434,4.918029537,LOSS 4,22,7
URBAN 6-LANE INTERSTATE,16,451-02,451-02_010,0,1.302,1.3023777,78341,"[""I-20""]","[""04""]","[""CADDO"",""BOSSIER""]",1,5,28,131,413,578,165,34,115.6,88.76073354,203.7921093,31.29539293,43.12295947,87.32110825,18.0029814,56.02571532,LOSS 4,3,33,25.33827169,68.26042099,10.48243086,14.67183704,24.4040651,5.73493712,13.92163424,LOSS 4,5,8
URBAN 6-LANE INTERSTATE,16,450-91,450-91_010,30.787,32.491,1.70383939,63443,"[""I-10""]","[""07""]","[""CALCASIEU""]",2,3,27,61,272,365,93,32,73,42.84441387,172.9451169,20.30063607,27.97291948,41.98542408,11.6781398,21.68478801,LOSS 4,12,18.6,10.91652189,43.46748179,5.102298027,7.141481414,10.21207133,2.791466858,5.109773298,LOSS 4,21,9
URBAN 6-LANE INTERSTATE,16,450-34,450-34_010,2,3.472,1.47183894,39780,"[""I-610""]","[""02""]","[""ORLEANS""]",1,5,24,62,113,205,92,30,41,27.85630879,57.21334622,7.774403118,10.71260781,25.97381809,4.472301566,18.19941497,LOSS 4,13,18.4,12.50136785,30.93557276,4.203662768,5.883697771,11.31190927,2.299823577,7.108246498,LOSS 4,17,10
URBAN 6-LANE INTERSTATE,16,450-09,450-09_010,0,0.863,0.8625895,175018,"[""I-10""]","[""61""]","[""EAST BATON ROUGE"",""WEST BATON ROUGE""]",1,3,23,142,498,667,169,27,133.4,154.6506189,691.8995659,160.4238322,221.053317,154.679414,92.28538125,-5.74441814,LOSS 2,31,33.8,39.18433971,90.82610104,21.05893963,29.47535115,38.59847636,11.52134425,17.53953673,LOSS 4,2,11
URBAN 6-LANE INTERSTATE,16,450-92,450-92_010,1.929,3.028,1.099401,60973,"[""INTERSTATE 110 HWY N""]","[""61""]","[""EAST BATON ROUGE""]",3,1,22,85,253,364,111,26,72.8,66.21787683,102.8517979,18.71051561,25.78183978,64.26019532,10.76340742,45.54967971,LOSS 4,6,22.2,20.19281409,26.33318772,4.790460936,6.705015576,18.22074309,2.62086081,13.43028215,LOSS 4,6,12
URBAN 6-LANE INTERSTATE,16,450-90,450-90_010,9.47,10.033,0.56245607,125757,"[""I-10""]","[""02""]","[""ORLEANS""]",1,6,18,70,105,200,95,25,40,71.11666516,231.3917679,82.27905441,113.3750369,71.2247056,47.3318322,-11.05434881,LOSS 2,35,19,33.78041595,58.82806762,20.91827994,29.27847543,33.36197135,11.44438935,12.44369141,LOSS 4,7,13
URBAN 6-LANE INTERSTATE,16,451-06,451-06_010,16.84,17.66,0.82000033,74800,"[""I-20""]","[""05""]","[""OUACHITA""]",1,4,20,45,189,259,70,25,51.8,63.17070628,116.701585,28.46378977,39.2211996,62.21710638,16.37407395,33.75331661,LOSS 4,7,14,17.07316386,35.31930413,8.614460956,12.05731466,16.43460443,4.712970927,7.82014347,LOSS 4,16,14
URBAN 6-LANE INTERSTATE,16,450-90,450-90_010,12.255,13.346,1.09106981,68,"[""I-10""]","[""02""]","[""ORLEANS""]",1,5,15,64,109,194,85,21,38.8,35.56142755,8.42E-05,1.54E-05,2.13E-05,0.000698268,8.88E-06,0.000682827,LOSS 4,27,17,15.58103784,22.90373745,4.1984,5.876331687,13.94760881,2.296944317,9.749208809,LOSS 4,12,15
URBAN 6-LANE INTERSTATE,16,450-92,450-92_010,1.331,1.929,0.59761203,50802,"[""INTERSTATE 110 HWY N""]","[""61""]","[""EAST BATON ROUGE""]",0,3,12,52,225,292,67,15,58.4,97.72226305,38.42138313,12.85830311,17.71788216,92.72724851,7.396864849,79.86894539,LOSS 4,1,13.4,22.42257406,12.7839269,4.278336532,5.988215636,19.86062237,2.340677588,15.58228584,LOSS 4,4,16
URBAN 6-LANE INTERSTATE,16,450-90,450-90_010,13.346,14.477,1.1306443,11747,"[""I-10""]","[""02""]","[""ORLEANS""]",2,6,7,49,74,138,64,15,27.6,24.41086025,3.562899315,0.630242299,0.868431759,11.07888097,0.362553057,10.44863867,LOSS 4,18,12.8,11.32097867,23.73448518,4.198400007,5.876331696,10.2988758,2.296944321,6.100475793,LOSS 4,19,17
URBAN 6-LANE INTERSTATE,16,450-10,450-10_010,0.861,1.349,0.48846921,175018,"[""I-10""]","[""61""]","[""EAST BATON ROUGE""]",0,0,14,60,380,454,74,14,90.8,185.8868443,391.8105128,160.4238322,221.053317,185.759842,92.28538125,25.3360098,LOSS 3,9,14.8,30.29873674,51.43321803,21.05893963,29.47535115,30.0000808,11.52134425,8.941141165,LOSS 4,14,18
URBAN 6-LANE INTERSTATE,16,450-13,450-13_010,13.534,14.72,1.18597025,41078,"[""I-10""]","[""62""]","[""ST. JOHN THE BAPTIST""]",0,0,10,73,169,252,83,10,50.4,42.49685015,49.25028116,8.305483407,11.44440094,39.47858388,4.777810705,31.17310047,LOSS 4,8,16.6,13.99697842,24.94051159,4.205925332,5.886864591,12.59409839,2.301061426,8.388173054,LOSS 4,15,19
URBAN 6-LANE INTERSTATE,16,450-92,450-92_010,0.521,1.1,0.57958977,25752,"[""INTERSTATE 110 HWY N""]","[""61""]","[""EAST BATON ROUGE""]",0,0,9,43,230,282,52,9,56.4,97.31020615,9.202489371,3.175518219,4.375651834,78.28873092,1.826747969,75.1132127,LOSS 4,2,10.4,17.94372596,12.16686847,4.198441413,5.876389651,15.97126953,2.296966975,11.77282812,LOSS 4,8,20
URBAN 6-LANE INTERSTATE,16,450-92,450-92_010,1.1,1.331,0.23060303,39535,"[""INTERSTATE 110 HWY N""]","[""61""]","[""EAST BATON ROUGE""]",0,1,6,13,58,78,20,7,15.6,67.64872083,8.850750145,7.676178535,10.5772609,61.96174037,4.415796911,54.28556183,LOSS 4,4,4,17.34582585,4.846483335,4.203312797,5.883207931,15.46173986,2.299632108,11.25842706,LOSS 4,10,21
URBAN 6-LANE INTERSTATE,16,450-91,450-91_010,30.35,30.787,0.4370475,65265,"[""I-10""]","[""07""]","[""CALCASIEU""]",1,2,3,13,45,64,19,6,12.8,29.28743443,47.01752513,21.51597944,29.64758141,29.00744096,12.37727798,7.491461522,LOSS 3,20,3.8,8.694707097,11.82958319,5.413408471,7.576930195,8.317365949,2.961675358,2.903957478,LOSS 4,26,22
RURAL 2-LANE,19,260-02,260-02_010,0.221,8.771,8.55159535,4925,"[""LA 16""]","[""62""]","[""LIVINGSTON""]",7,6,24,31,118,186,68,37,37.2,4.350065511,66.45724341,1.55426539,2.300968728,3.733483061,0.678508451,2.179217671,LOSS 4,70,13.6,1.590346531,27.71106435,0.648091104,0.942869693,1.175988801,0.306356427,0.527897697,LOSS 4,71,1
RURAL 2-LANE,19,260-03,260-03_010,0,10.602,10.60196592,2469,"[""LA 22""]","[""62""]","[""LIVINGSTON""]",5,3,19,27,83,137,54,27,27.4,2.584426342,48.90717066,0.922605695,1.365845798,2.048004843,0.402759892,1.125399148,LOSS 4,155,10.8,1.018678996,20.72951742,0.391050444,0.56891633,0.663830998,0.184851815,0.272780553,LOSS 4,152,2
RURAL 2-LANE,19,065-06,065-06_010,2.621,11.53,8.90911807,5508,"[""LA 20""]","[""02""]","[""LAFOURCHE""]",6,0,18,127,238,389,151,24,77.8,8.732626438,75.14732703,1.686975668,2.497435948,7.275747979,0.736442601,5.588772311,LOSS 4,22,30.2,3.389785584,31.19966082,0.700398414,1.018968527,2.258288563,0.331082396,1.557890149,LOSS 4,13,3
RURAL 2-LANE,19,058-01,058-01_010,2.762,15.673,12.9102007,1524,"[""LA 41""]","[""62""]","[""ST. TAMMANY""]",3,3,17,25,81,129,48,23,25.8,1.998419746,40.86871059,0.633122777,0.937288908,1.438803161,0.276387261,0.805680384,LOSS 4,232,9.6,0.743598045,17.37457037,0.269160345,0.391585582,0.433328394,0.127233657,0.164168049,LOSS 4,255,4
RURAL 2-LANE,19,066-08,066-08_010,0.261,7.4,7.13834725,8662,"[""US 167""]","[""03""]","[""ST. LANDRY""]",3,1,17,37,86,144,58,21,28.8,4.034547353,83.08625956,2.327885059,3.446252332,3.763370307,1.016229079,1.435485248,LOSS 4,121,11.6,1.625026017,33.71043915,0.944488632,1.374081054,1.386798605,0.446465259,0.442309972,LOSS 4,90,5
RURAL 2-LANE,19,216-01,216-01_010,0.449,7.013,6.56342622,4619,"[""LA 339""]","[""03""]","[""LAFAYETTE"",""VERMILION""]",1,3,15,31,61,111,50,19,22.2,3.38237976,48.64781299,1.482390793,2.194563991,2.947690061,0.647131878,1.465299268,LOSS 4,118,10,1.523594486,20.33056555,0.619510751,0.901289817,1.115951326,0.292846328,0.496440575,LOSS 4,77,6
RURAL 2-LANE,19,032-02,032-02_010,5.396,9.891,4.49454157,3549,"[""LA 182""]","[""03""]","[""ST. LANDRY""]",2,1,14,31,56,104,48,17,20.8,4.627835715,27.35481372,1.217245999,1.802037796,3.722684536,0.53138396,2.505438537,LOSS 4,63,9.6,2.135924176,11.51887179,0.512571599,0.745710322,1.327324919,0.24229557,0.81475332,LOSS 4,38,7
RURAL 2-LANE,19,033-01,033-01_010,0,15.138,15.13796221,1712,"[""LA 115"",""LA 29""]","[""08""]","[""AVOYELLES""]",0,3,14,78,132,227,95,17,45.4,2.999082662,52.51159782,0.693773668,1.027077824,2.104726621,0.30286417,1.410952953,LOSS 4,124,19,1.2551227,22.3195016,0.294881191,0.42900533,0.647250264,0.13939205,0.352369073,LOSS 4,119,8
RURAL 2-LANE,19,203-02,203-02_010,0,11.898,11.89781025,1362,"[""LA 29""]","[""03""]","[""EVANGELINE""]",0,1,16,34,54,105,51,17,21,1.76503067,34.46537439,0.579356599,0.857692274,1.253399292,0.252915847,0.674042694,LOSS 4,282,10.2,0.857300611,14.65143477,0.246287921,0.358309836,0.445609051,0.11642173,0.19932113,LOSS 4,216,9
RURAL 2-LANE,19,230-02,230-02_010,3.167,9.007,5.84039899,2365,"[""LA 75""]","[""61""]","[""IBERVILLE""]",3,5,8,22,18,56,38,16,11.2,1.917677203,26.06083835,0.892433493,1.321178206,1.579242001,0.389588336,0.686808508,LOSS 4,278,7.6,1.301280959,11.05164177,0.378455026,0.550591996,0.772127048,0.178897888,0.393672022,LOSS 4,106,10
RURAL 2-LANE,19,121-01,121-01_010,0,9.997,9.99664724,1403,"[""LA 527""]","[""04""]","[""BOSSIER""]",0,0,16,16,36,68,32,16,13.6,1.360456128,29.64531024,0.593105059,0.878045797,1.03374326,0.258917684,0.440638201,LOSS 4,402,6.4,0.640214649,12.60290454,0.252142628,0.366827505,0.38074938,0.119189284,0.128606752,LOSS 4,307,11
RURAL 2-LANE,19,426-03,426-03_010,0,3.16,3.15984146,21949,"[""LA 70""]","[""61""]","[""ASCENSION""]",2,1,12,36,93,144,51,15,28.8,9.114381327,66.83357848,4.230185554,6.262459897,8.654445787,1.846670888,4.424260233,LOSS 4,29,10.2,3.228010053,25.10721063,1.589143693,2.311951849,2.830606128,0.751197448,1.241462435,LOSS 4,20,12
RURAL 2-LANE,19,145-01,145-01_010,0,7.528,7.52844522,2963,"[""LA 114""]","[""08""]","[""AVOYELLES""]",3,0,12,34,57,106,49,15,21.2,2.815986486,39.95026086,1.061315044,1.571194175,2.301932031,0.463312914,1.240616987,LOSS 4,138,9.8,1.301729602,16.8863098,0.448600191,0.652642077,0.84838494,0.212055914,0.399784749,LOSS 4,104,13
RURAL 2-LANE,19,829-15,829-15_010,0,19.365,19.36514713,394,"[""307 HWY""]","[""02""]","[""LAFOURCHE""]",2,0,13,35,97,147,50,15,29.4,1.518191409,20.71588361,0.21395018,0.316736561,0.640810056,0.093399111,0.426859875,LOSS 4,407,10,0.516391636,8.690716907,0.08975627,0.130581128,0.153742899,0.04242831,0.063986629,LOSS 4,501,14
RURAL 2-LANE,19,238-02,238-02_010,0,4.945,4.94466155,8078,"[""LA 96""]","[""03""]","[""ST. MARTIN""]",2,0,12,29,76,119,43,14,23.8,4.8132718,54.82582158,2.21757631,3.28294883,4.38371268,0.968074228,2.166136369,LOSS 4,71,8.6,1.739249474,22.33706082,0.90348189,1.314422753,1.438187003,0.427081134,0.534705112,LOSS 4,68,15
RURAL 2-LANE,19,144-01,144-01_010,0,11.691,11.69133073,1365,"[""LA 105""]","[""03""]","[""ST. LANDRY""]",3,1,10,21,41,76,35,14,15.2,1.300108632,33.92625127,0.580365949,0.859186538,0.989839059,0.253356475,0.40947311,LOSS 4,418,7,0.598734238,14.42230191,0.246717884,0.358935363,0.361685681,0.116624976,0.114967797,LOSS 4,339,16
RURAL 2-LANE,19,195-03,195-03_010,0,3.821,3.82143357,9634,"[""LA 385""]","[""07""]","[""CALCASIEU""]",1,1,11,34,39,86,47,13,17.2,4.500928692,47.85284774,2.50444483,3.707635307,4.202724663,1.093305553,1.698279833,LOSS 4,100,9.4,2.459809867,19.28415475,1.009262853,1.468317265,1.973702276,0.477084409,0.964439422,LOSS 4,31,17
RURAL 2-LANE,19,065-07,065-07_010,0,5.414,5.41446617,5508,"[""LA 20""]","[""61""]","[""ST. JAMES""]",0,0,13,37,126,176,50,13,35.2,6.501102582,45.67036342,1.686975668,2.497435948,5.505651909,0.736442601,3.818676242,LOSS 4,36,10,1.846904143,18.96141758,0.700398414,1.018968527,1.364538557,0.331082396,0.664140143,LOSS 4,50,18
RURAL 2-LANE,19,012-30,012-30_010,0,5.083,5.08273469,1359,"[""LA 742 ""]","[""03""]","[""ST. LANDRY""]",2,0,11,29,48,90,42,13,18,3.541400663,14.69791446,0.578346711,0.856197214,2.261542087,0.252474985,1.683195375,LOSS 4,102,8.4,1.652653643,6.24814751,0.245857708,0.357683944,0.704234345,0.116218366,0.458376636,LOSS 4,86,19
RURAL 2-LANE,19,013-07,013-07_010,4.712,9.889,5.17614684,5975,"[""US 190""]","[""62""]","[""LIVINGSTON""]",1,2,10,21,52,86,34,13,17.2,3.322935097,46.31632845,1.789606434,2.649372795,3.020474002,0.781245659,1.230867568,LOSS 4,142,6.8,1.313718527,19.16301172,0.740435398,1.077215984,1.080253741,0.35000811,0.339818343,LOSS 4,124,20
RURAL 2-LANE,19,038-02,038-02_010,0,7.052,7.05236309,1586,"[""LA 139""]","[""05""]","[""OUACHITA"",""MOREHOUSE""]",5,1,7,21,23,57,34,13,11.4,1.616479449,23.03730735,0.653321647,0.967191761,1.228989387,0.285204999,0.57566774,LOSS 4,317,6.8,0.964215812,9.793479004,0.277736097,0.40406194,0.520171811,0.131287465,0.242435714,LOSS 4,176,21
